

Bruteforce-Staggered, 2, 6, 0.029342, 173535


Bruteforce-Staggered, 2, 6, 0.029159, 173535


Bruteforce-Staggered, 2, 6, 0.029213, 173535


Bruteforce-Staggered, 4, 6, 0.020574, 173535


Bruteforce-Staggered, 4, 6, 0.019453, 173535


Bruteforce-Staggered, 4, 6, 0.016148, 173535


Bruteforce-Staggered, 6, 6, 0.011632, 173535


Bruteforce-Staggered, 6, 6, 0.011519, 173535


Bruteforce-Staggered, 6, 6, 0.011791, 173535


Bruteforce-Staggered, 8, 6, 0.011267, 173535


Bruteforce-Staggered, 8, 6, 0.011020, 173535


Bruteforce-Staggered, 8, 6, 0.009315, 173535


Bruteforce-Staggered, 2, 8, 12.305522, 70808415


Bruteforce-Staggered, 2, 8, 12.281348, 70808415


Bruteforce-Staggered, 2, 8, 12.559598, 70808415


Bruteforce-Staggered, 4, 8, 7.449083, 70808415


Bruteforce-Staggered, 4, 8, 7.580798, 70808415


Bruteforce-Staggered, 4, 8, 7.535295, 70808415


Bruteforce-Staggered, 6, 8, 5.065095, 70808415


Bruteforce-Staggered, 6, 8, 5.368215, 70808415


Bruteforce-Staggered, 6, 8, 5.100535, 70808415


Bruteforce-Staggered, 8, 8, 4.033485, 70808415


Bruteforce-Staggered, 8, 8, 3.940836, 70808415


Bruteforce-Staggered, 8, 8, 4.188852, 70808415


Bruteforce-Staggered, 2, 10, 135.475940, 779330228


Bruteforce-Staggered, 2, 10, 136.358963, 779330228


Bruteforce-Staggered, 2, 10, 134.328105, 779330228


Bruteforce-Staggered, 4, 10, 82.594513, 779330228


Bruteforce-Staggered, 4, 10, 81.050970, 779330228


Bruteforce-Staggered, 4, 10, 80.385084, 779330228


Bruteforce-Staggered, 6, 10, 55.545024, 779330228


Bruteforce-Staggered, 6, 10, 56.307654, 779330228


Bruteforce-Staggered, 6, 10, 56.305413, 779330228


Bruteforce-Staggered, 8, 10, 45.174686, 779330228


Bruteforce-Staggered, 8, 10, 43.688700, 779330228


Bruteforce-Staggered, 8, 10, 44.539954, 779330228
